"workerId","datasetObjectId","text","label","rationale"
"public.us-east-1.A2CFI1X8OKYIL2","6","The picture that emerges is of a system of staggering complexity, riddled with obstacles and cracks, that prioritizes babies over mothers, thwarts women at every turn, frustrates doctors and midwives, and incentivizes substandard care.","Biased","Using describing words like complex and staggering are opinions and therefore biased, the author also gives no proof."
"public.us-east-1.A2H2DJL45BZBD","6","The picture that emerges is of a system of staggering complexity, riddled with obstacles and cracks, that prioritizes babies over mothers, thwarts women at every turn, frustrates doctors and midwives, and incentivizes substandard care.","Biased","It is simply a biased opinion. Prioritizing babies over their mothers will change person to person."
"public.us-east-1.A1V2H0UF94ATWY","3","Populist Interior Minister Matteo Salvini has slammed Saudi Arabia, the host of the Italian football Super Cup, for not allowing single women to attend the match without a man accompanying them.","Unbiased","Appears just to be reporting, the use of the word ""slammed"" is somewhat inflammatory but not necessarily biased."
"public.us-east-1.A26MRON9XGPVB5","3","Populist Interior Minister Matteo Salvini has slammed Saudi Arabia, the host of the Italian football Super Cup, for not allowing single women to attend the match without a man accompanying them.","Biased","There is a bit of a misnomer in the language choice of slamming. I feel this is somewhat subjective and more opinion-based than factual."
"public.us-east-1.A3I3IFFQW3CB1P","7","Republicans are more pessimistic about the country’s direction than at almost any other time during Donald Trump’s presidency, as a trio of crises – the coronavirus pandemic, an economic downturn and mass protests over police brutality – buffets his administration.","Biased","the coronavirus pandemic, an economic downturn and mass protests over police brutality – buffets his administration"
"public.us-east-1.ARR9GKAG3JFE5","7","Republicans are more pessimistic about the country’s direction than at almost any other time during Donald Trump’s presidency, as a trio of crises – the coronavirus pandemic, an economic downturn and mass protests over police brutality – buffets his administration.","Unbiased","Republicans can be good for the pandemic and make strong support."
"public.us-east-1.A1D321NM47DMJ0","8","Trump was a major factor in the early rumblings of white nationalism on the network, which gave him considerable airtime during his reality TV days to air conspiracy theories about Barack Obama’s birth certificate.","Biased","it is biased."
"public.us-east-1.A2H2DJL45BZBD","8","Trump was a major factor in the early rumblings of white nationalism on the network, which gave him considerable airtime during his reality TV days to air conspiracy theories about Barack Obama’s birth certificate.","Biased","Clearly showing a very strong bias claiming Trump was a major factor in white nationalism on a network."
"public.us-east-1.A3OJMQGEB33E00","4","Other European countries have also said they will strip dual nationals who joined Islamic State of citizenship.","Unbiased","Just states the facts of the matter regarding the topic. "
"public.us-east-1.A18FY0P87H4A5O","4","Other European countries have also said they will strip dual nationals who joined Islamic State of citizenship.","Biased","european countries have said they will have strip dual nations with islamic state citizenship"
"public.us-east-1.A2H2DJL45BZBD","2","We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.","Biased","Hard to say, I'm leaning towards being biased for the choice of words. Risking arrest to demand, seems to show a bias towards the persons position."
"public.us-east-1.A1UQPMG1XXP671","2","We speak with Varshini Prakash, founder of the Sunrise Movement, a youth-led climate group that has occupied and lobbied at congressional offices, risking arrest to demand adoption of the Green New Deal and bold climate leadership.","Biased","It will be biased because it's climate group will occupied in biased condition."
"public.us-east-1.A2CFI1X8OKYIL2","2","Actor and climate change activist Joaquin Phoenix was spotted at Oscars Party with plastic water bottle after climate change rant.","Unbiased","Despite this being a petty thing to point out, it is still factual information and the author does not give a stance on it."
"public.us-east-1.A2HMEGTAFO0CS8","2","Actor and climate change activist Joaquin Phoenix was spotted at Oscars Party with plastic water bottle after climate change rant.","Biased","the behavior of Joaquin Phoenix at Oscars Party makes biased"
